23 三月 2020 08:34:44,228 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.node.PollingPropertiesFileConfigurationProvider.start:62)  - Configuration provider starting
23 三月 2020 09:20:13,617 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:149)  - Component type: SOURCE, name: r3 stopped
23 三月 2020 09:20:13,617 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:155)  - Shutdown Metric for type: SOURCE, name: r3. source.start.time == 1584923684490
23 三月 2020 09:20:13,617 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:161)  - Shutdown Metric for type: SOURCE, name: r3. source.stop.time == 1584926413617
23 三月 2020 09:20:13,617 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.append-batch.accepted == 6
23 三月 2020 09:20:13,617 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.append-batch.received == 6
23 三月 2020 09:20:13,618 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.append.accepted == 0
23 三月 2020 09:20:13,619 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.append.received == 0
23 三月 2020 09:20:13,619 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.channel.write.fail == 0
23 三月 2020 09:20:13,619 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.event.read.fail == 0
23 三月 2020 09:20:13,619 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.events.accepted == 384
23 三月 2020 09:20:13,619 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.events.received == 384
23 三月 2020 09:20:13,619 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.generic.processing.fail == 0
23 三月 2020 09:20:13,619 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r3. src.open-connection.count == 0
23 三月 2020 09:20:13,619 INFO  [agent-shutdown-hook] (org.apache.flume.source.SpoolDirectorySource.stop:138)  - SpoolDir source r3 stopped. Metrics: SOURCE:r3{src.events.accepted=384, src.open-connection.count=0, src.append.received=0, src.channel.write.fail=0, src.append-batch.received=6, src.generic.processing.fail=0, src.append-batch.accepted=6, src.append.accepted=0, src.events.received=384, src.event.read.fail=0}
23 三月 2020 09:20:13,620 INFO  [agent-shutdown-hook] (org.apache.flume.node.Application.stopAllComponents:139)  - Stopping Sink k3
23 三月 2020 09:20:13,620 INFO  [agent-shutdown-hook] (org.apache.flume.lifecycle.LifecycleSupervisor.unsupervise:169)  - Stopping component: SinkRunner: { policy:org.apache.flume.sink.DefaultSinkProcessor@25cacec5 counterGroup:{ name:null counters:{runner.backoffs.consecutive=334, runner.backoffs=342} } }
23 三月 2020 09:20:13,621 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:149)  - Component type: SINK, name: k3 stopped
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:155)  - Shutdown Metric for type: SINK, name: k3. sink.start.time == 1584923684419
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:161)  - Shutdown Metric for type: SINK, name: k3. sink.stop.time == 1584926413621
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.batch.complete == 3
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.batch.empty == 343
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.batch.underflow == 2
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.channel.read.fail == 0
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.connection.closed.count == 1
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.connection.creation.count == 1
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.connection.failed.count == 0
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.event.drain.attempt == 384
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.event.drain.sucess == 384
23 三月 2020 09:20:13,622 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SINK, name: k3. sink.event.write.fail == 0
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.node.Application.stopAllComponents:149)  - Stopping Channel c3
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.lifecycle.LifecycleSupervisor.unsupervise:169)  - Stopping component: org.apache.flume.channel.MemoryChannel{name: c3}
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:149)  - Component type: CHANNEL, name: c3 stopped
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:155)  - Shutdown Metric for type: CHANNEL, name: c3. channel.start.time == 1584923684413
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:161)  - Shutdown Metric for type: CHANNEL, name: c3. channel.stop.time == 1584926413623
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: CHANNEL, name: c3. channel.capacity == 100000
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: CHANNEL, name: c3. channel.current.size == 0
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: CHANNEL, name: c3. channel.event.put.attempt == 384
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: CHANNEL, name: c3. channel.event.put.success == 384
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: CHANNEL, name: c3. channel.event.take.attempt == 729
23 三月 2020 09:20:13,623 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: CHANNEL, name: c3. channel.event.take.success == 384
23 三月 2020 09:20:13,624 INFO  [agent-shutdown-hook] (org.apache.flume.lifecycle.LifecycleSupervisor.stop:78)  - Stopping lifecycle supervisor 10
23 三月 2020 09:20:13,625 INFO  [agent-shutdown-hook] (org.apache.flume.node.PollingPropertiesFileConfigurationProvider.stop:84)  - Configuration provider stopping
